Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,3864630,3967622,1004549,161313,462902,480041,340864,1517953,102991,41929,35382,25680
1989:Q3,age55to69,7254780,7682040,1901501,463677,739734,1734227,1011546,1831355,427260,291755,91143,44362
1989:Q3,age40to54,6619223,7858795,2472312,673059,631774,1683350,1141331,1256970,1239573,871207,300246,68120
1989:Q3,ageunder40,2668298,4048909,1512581,598301,217338,588156,475885,656648,1380611,1005799,357435,17377
1989:Q4,age70plus,4014102,4113135,1065156,172237,468723,489327,358174,1559517,99032,37572,36173,25287
1989:Q4,age55to69,7377990,7826043,1913610,467554,777776,1775511,1036435,1855156,448053,304747,97924,45382
1989:Q4,age40to54,6716358,7980112,2483316,674063,645972,1753096,1132293,1291372,1263754,892809,303167,67778
1989:Q4,ageunder40,2683287,4097528,1532234,611921,221080,596188,469928,666176,1414241,1024986,372021,17234
1990:Q1,age70plus,4034806,4132756,1062575,184177,433716,504089,365637,1582561,97951,38209,33928,25814
1990:Q1,age55to69,7431744,7902818,1947429,481362,739611,1801744,1053144,1879528,471075,323782,98884,48409
1990:Q1,age40to54,6743159,8030911,2492933,683791,609989,1789215,1140229,1314753,1287751,924817,294383,68551
1990:Q1,ageunder40,2681794,4112937,1545924,617798,211349,598150,468617,671099,1431142,1048105,365125,17912
1990:Q2,age70plus,4147660,4246006,1116105,193998,443430,521549,368244,1602680,98346,39826,33385,25135
1990:Q2,age55to69,7485376,7976322,1945566,483050,771010,1823630,1065545,1887521,490946,339048,102327,49571
1990:Q2,age40to54,6818107,8133217,2492260,685152,631622,1842220,1147558,1334405,1315110,953786,292798,68526
1990:Q2,ageunder40,2700593,4151375,1551836,630311,218491,612432,467708,670598,1450782,1062751,370201,17830
1990:Q3,age70plus,4115307,4207954,1101128,203386,356085,543636,373090,1630629,92647,36892,33294,22461
1990:Q3,age55to69,7471347,7977994,1983774,493435,640458,1856636,1074838,1928852,506646,351779,107153,47714
1990:Q3,age40to54,6759705,8098574,2507930,690906,529954,1847689,1156185,1365910,1338869,978813,293167,66889
1990:Q3,ageunder40,2657136,4132027,1565118,628518,189638,603502,467622,677629,1474891,1079253,378689,16949
1990:Q4,age70plus,4230974,4315182,1098265,209667,394466,541105,387833,1683846,84208,27534,33025,23649
1990:Q4,age55to69,7620738,8146127,1990164,499498,740775,1873003,1085045,1957642,525389,362183,112406,50800
1990:Q4,age40to54,6945983,8305631,2502583,698639,589635,1944442,1158740,1411592,1359647,999358,292934,67355
1990:Q4,ageunder40,2656989,4160277,1569441,631316,205221,611509,463047,679743,1503288,1100181,386027,17080
1991:Q1,age70plus,4381656,4454519,1136695,218714,453102,523969,405182,1716858,72864,19154,30345,23365
1991:Q1,age55to69,7750407,8287432,1990864,502064,884729,1879829,1090444,1939502,537026,371745,112512,52769
1991:Q1,age40to54,7176266,8548151,2501550,704753,675414,2069608,1146085,1450741,1371885,1020442,283481,67962
1991:Q1,ageunder40,2675029,4186577,1557011,642298,226442,622652,451574,686601,1511549,1117811,375868,17870
1991:Q2,age70plus,4403536,4475052,1153060,225923,440704,532361,408967,1714037,71516,19942,29207,22367
1991:Q2,age55to69,7761428,8315398,2003712,504471,884263,1907494,1094627,1920831,553970,385969,114741,53260
1991:Q2,age40to54,7214404,8614793,2509902,708390,672842,2124560,1139856,1459243,1400389,1052234,280536,67619
1991:Q2,ageunder40,2650187,4176252,1555276,644923,225519,629817,444339,676378,1526065,1131969,376823,17273
