Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,10078665,11499746,2960011,796762,1373540,2169566,1626887,2572980,1421080,1044512,274897,101671
1989:Q3,SomeCollege,3911297,4671366,1490197,423510,330488,819222,535905,1072044,760069,543543,192180,24346
1989:Q3,HS,4167171,4881776,1527507,482850,261142,1006244,528465,1075567,714605,462509,228094,24002
1989:Q3,NoHS,2249797,2504479,913227,193228,86577,490742,278369,542335,254681,160126,89036,5519
1989:Q4,College,10532548,12024812,3109778,827164,1426504,2279386,1682600,2699380,1492264,1093815,295124,103325
1989:Q4,SomeCollege,3912489,4679393,1473648,424790,337311,847745,528838,1067061,766904,548414,195330,23160
1989:Q4,HS,4148499,4863385,1520801,474028,263847,1013523,522799,1068387,714886,461699,229740,23447
1989:Q4,NoHS,2198200,2449227,890090,199794,85889,473467,262593,537395,251027,156187,89091,5749
1990:Q1,College,10744853,12305606,3203901,867799,1348237,2362005,1723237,2800427,1560753,1151721,301184,107848
1990:Q1,SomeCollege,3910148,4680930,1479348,428722,321468,856301,529933,1065158,770782,558406,188712,23664
1990:Q1,HS,4093593,4804734,1505916,473866,245526,1007007,517208,1055211,711141,469398,218692,23051
1990:Q1,NoHS,2142908,2388151,859697,196742,79434,467887,257249,527143,245243,155387,83732,6124
1990:Q2,College,11050812,12672934,3306391,889726,1394499,2461220,1753189,2867909,1622121,1200024,312900,109197
1990:Q2,SomeCollege,3924517,4702659,1463367,431498,333668,878317,527000,1068810,778142,566592,188204,23346
1990:Q2,HS,4073928,4787317,1499689,467580,255952,1005170,513808,1045118,713389,475003,215911,22475
1990:Q2,NoHS,2102478,2344011,836321,203707,80434,455125,255057,513367,241532,153791,81697,6044
1990:Q3,College,11048160,12720030,3371484,921152,1148873,2517198,1784326,2976997,1671870,1240008,326185,105677
1990:Q3,SomeCollege,3894598,4681565,1482462,434099,288844,868335,529463,1078363,786967,576264,189731,20972
1990:Q3,HS,4003002,4719538,1494130,465331,211207,997514,508945,1042411,716536,479037,215670,21829
1990:Q3,NoHS,2057735,2295416,809875,195664,67210,468415,249003,505250,237681,151429,80716,5536
1990:Q4,College,11415470,13134828,3411274,943826,1295426,2582006,1812809,3089487,1719358,1271488,338409,109461
1990:Q4,SomeCollege,3999190,4799858,1485126,437003,323736,923237,543638,1087117,800668,588122,191167,21379
1990:Q4,HS,4035261,4753598,1476808,464738,237710,1020402,502740,1051200,718338,481424,215151,21763
1990:Q4,NoHS,2004764,2238933,787245,193552,73226,444414,235478,505018,234169,148221,79664,6284
1991:Q1,College,11783176,13531625,3457189,959692,1509758,2636231,1820739,3148015,1748449,1298740,337683,112026
1991:Q1,SomeCollege,4130964,4937520,1481694,442824,372445,1000007,558351,1082200,806555,600422,184748,21385
1991:Q1,HS,4118268,4830031,1487223,464980,275558,1053182,495839,1053249,711763,484722,205093,21948
1991:Q1,NoHS,1950949,2177505,760014,200334,81927,406639,218356,510235,226555,145268,74683,6604
1991:Q2,College,11833906,13623036,3494051,973560,1485679,2704763,1819135,3145848,1789130,1334776,342862,111492
1991:Q2,SomeCollege,4162444,4982253,1492839,446785,378665,1024806,557607,1081551,819809,614955,183762,21092
1991:Q2,HS,4123951,4843051,1497497,463334,278005,1064174,496823,1043218,719100,495391,202217,21492
1991:Q2,NoHS,1909254,2133155,737563,200028,80979,400489,214222,499875,223901,144991,72465,6445
1991:Q3,College,12004769,13820513,3523314,992244,1581978,2772909,1793485,3156584,1815744,1351109,347131,117504
1991:Q3,SomeCollege,4279184,5108158,1523779,450733,410131,1070944,569143,1083428,828974,620708,183620,24646
1991:Q3,HS,4176572,4898593,1501697,466948,302798,1086451,495903,1044797,722021,499590,201112,21319
1991:Q3,NoHS,1873957,2093895,722973,193519,85493,384488,212551,494871,219938,142561,70638,6739
1991:Q4,College,12350248,14209174,3558502,1000235,1871193,2819214,1762689,3197340,1858925,1378821,355380,124724
1991:Q4,SomeCollege,4453318,5302650,1547172,455122,479743,1143418,588010,1089186,849333,634646,186479,28208
1991:Q4,HS,4294240,5030469,1532527,468035,361223,1123106,494460,1051118,736229,511380,203454,21395
1991:Q4,NoHS,1833902,2054132,702347,193997,97769,362099,204290,493630,220230,142510,70269,7451
