Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3506890,3649271,535652,266188,737026,318355,835086,956964,142381,90896,26163,25322
1989:Q3,pct80to99,8885419,10366937,3024680,693936,912106,2086923,1434635,2214657,1481518,1150094,245781,85643
1989:Q3,pct60to80,3404719,4252640,1418564,437407,220448,1023693,279205,873322,847921,572676,249138,26107
1989:Q3,pct40to60,2505940,2931696,999473,250974,118305,669622,245258,648063,425755,259055,160143,6557
1989:Q3,pct20to40,1517273,1706702,669345,172204,40745,275395,127834,421179,189429,113474,70136,5819
1989:Q3,pct00to20,586690,650120,243228,75640,23119,111785,47609,148738,63430,24496,32846,6088
1989:Q4,pct99to100,3594228,3742691,573772,270475,742688,326962,848099,980695,148463,96705,25510,26248
1989:Q4,pct80to99,9089680,10591548,3093185,699373,949323,2152252,1439281,2258134,1501868,1167693,250381,83794
1989:Q4,pct60to80,3469967,4338513,1436162,441464,225610,1059456,285467,890354,868546,586245,256184,26117
1989:Q4,pct40to60,2521558,2962965,997129,256233,125984,674796,248091,660731,441406,267798,166070,7538
1989:Q4,pct20to40,1523061,1722289,663065,177981,44974,286477,120853,428939,199228,115671,77749,5808
1989:Q4,pct00to20,593243,658812,231003,80250,24972,114179,55039,153369,65569,26003,33391,6175
1990:Q1,pct99to100,3566590,3723798,571890,265571,679114,334405,865923,1006896,157208,104536,23308,29364
1990:Q1,pct80to99,9104302,10634335,3080096,715364,903587,2218304,1437155,2279830,1530033,1197749,247073,85211
1990:Q1,pct60to80,3496163,4371944,1450489,449668,215832,1065090,294307,896558,875781,604053,245800,25928
1990:Q1,pct40to60,2547992,2998404,1009327,269606,125384,670475,252097,671516,450413,279636,162329,8448
1990:Q1,pct20to40,1551182,1753223,679811,182947,46348,290138,120527,433452,202041,119513,76505,6023
1990:Q1,pct00to20,625274,697716,257250,83974,24400,114787,57618,159688,72442,29424,37305,5713
1990:Q2,pct99to100,3670674,3835533,603713,269695,710892,350309,869975,1030950,164860,111891,22256,30713
1990:Q2,pct80to99,9209641,10763388,3126668,719710,923154,2275560,1438048,2280248,1553746,1222151,247652,83943
1990:Q2,pct60to80,3529866,4417544,1457680,452959,228048,1079387,300229,899242,887678,616804,245239,25635
1990:Q2,pct40to60,2557127,3019657,1001699,273709,127722,678140,256781,681606,462530,289065,164241,9224
1990:Q2,pct20to40,1559773,1769256,671410,188533,51327,297953,121558,438475,209483,122883,80532,6068
1990:Q2,pct00to20,624654,701543,244598,87904,23410,118482,62464,164685,76888,32616,38793,5479
1990:Q3,pct99to100,3550160,3717937,594259,259835,548791,353261,883857,1077933,167776,118121,21237,28418
1990:Q3,pct80to99,9154799,10723811,3099787,731549,782950,2367325,1440454,2301745,1569012,1241024,249926,78062
1990:Q3,pct60to80,3492712,4395670,1472547,457330,195570,1056824,305924,907475,902958,629840,247503,25615
1990:Q3,pct40to60,2567830,3043625,1017803,286215,119150,661764,259370,699324,475796,297854,167616,10326
