Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Top1,4806059,4925767,593801,358565,879963,401626,1327150,1364663,119709,71761,24748,23200
1989:Q3,Next9,7608050,8107590,2074345,420175,805737,1829128,1014495,1963711,499540,394925,56897,47718
1989:Q3,Next40,7238426,8811507,3407556,757616,342010,2054577,581980,1667768,1573080,1160775,362552,49753
1989:Q3,Bottom50,754396,1712502,815242,359994,24038,200444,46001,266783,958106,583229,340010,34867
1989:Q4,Top1,4916902,5039700,636455,360770,903454,421000,1325302,1392720,122798,73911,22963,25924
1989:Q4,Next9,7742664,8255070,2103444,419533,823576,1866809,1041932,1999776,512406,405455,60117,46834
1989:Q4,Next40,7401932,9002069,3456535,774603,361005,2122922,580022,1706982,1600137,1181139,369196,49802
1989:Q4,Bottom50,730239,1719978,797883,370869,25516,203390,49574,272745,989739,599610,357009,33120
1990:Q1,Top1,4902830,5030516,652935,352493,840738,426283,1346727,1411341,127686,77143,22959,27584
1990:Q1,Next9,7743946,8280328,2096180,432824,777072,1905244,1046567,2022442,536382,426902,60096,49384
1990:Q1,Next40,7478379,9092196,3463791,797921,351377,2159875,583807,1735426,1613817,1207912,355202,50703
1990:Q1,Bottom50,766347,1776381,835957,383892,25478,201798,50526,278731,1010034,622956,354063,33015
1990:Q2,Top1,5013968,5144985,689302,354140,880400,442858,1361223,1417061,131016,80027,21708,29281
1990:Q2,Next9,7820006,8378169,2112018,431449,797440,1951790,1049263,2036209,558163,446850,61911,49402
1990:Q2,Next40,7571554,9204347,3488981,812961,359157,2199168,586538,1757542,1632794,1228831,353277,50686
1990:Q2,Bottom50,746208,1779421,815466,393961,27556,206016,52031,284391,1033212,639703,361816,31693
1990:Q3,Top1,4875262,5009520,701172,340653,702397,437131,1371786,1456380,134258,82351,20317,31590
1990:Q3,Next9,7772503,8341179,2099959,444397,669534,1995210,1063469,2068610,568677,459753,64285,44639
1990:Q3,Next40,7577484,9230430,3489767,830275,319027,2221467,583331,1786562,1652946,1248916,354346,49684
1990:Q3,Bottom50,778246,1835420,867051,400921,25177,197654,53150,291468,1057174,655718,373354,28102
