Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18485021,21066432,5992018,1643609,1973992,3934655,2623244,4898915,2581412,1826717,619896,134799
1989:Q3,Black,782251,967024,338373,110868,16776,328394,38123,134490,184773,104554,78547,1672
1989:Q3,Hispanic,418753,621857,262951,67253,14441,114396,55989,106826,203104,142168,46771,14165
1989:Q3,Other,720906,902053,297601,74621,46538,108329,252270,122695,181147,137251,38994,4902
1989:Q4,White,18775162,21408678,6069038,1659344,2029442,4029947,2631654,4989253,2633516,1860634,638765,134117
1989:Q4,Black,807413,1000265,342274,116709,18508,341689,43633,137452,192852,110485,80445,1922
1989:Q4,Hispanic,441978,653261,275829,70089,14884,119529,64569,108361,211283,147844,49576,13863
1989:Q4,Other,767184,954613,307176,79633,50717,122956,256974,137158,187429,141152,40499,5778
1990:Q1,White,18814876,21496124,6108828,1690312,1913475,4084433,2651429,5047647,2681248,1917823,624851,138574
1990:Q1,Black,816345,1014836,343796,118693,17706,349239,46520,138881,198490,117687,78292,2511
1990:Q1,Hispanic,454742,671740,278656,74510,14861,122908,68590,112215,216998,153819,49991,13188
1990:Q1,Other,805540,996723,317583,83614,48624,136620,261088,149195,191183,145583,39185,6415
1990:Q2,White,19005835,21741169,6152516,1704088,1980168,4160588,2664541,5079268,2735333,1966880,629927,138526
1990:Q2,Black,831884,1036059,345239,124315,17564,361182,47019,140740,204175,122709,78502,2964
1990:Q2,Hispanic,474169,694819,285477,76021,15967,128193,71650,117511,220651,157172,51098,12381
1990:Q2,Other,839848,1034874,322535,88087,50854,149868,265844,157685,195026,148650,39184,7192
1990:Q3,White,18821813,21600687,6194706,1722224,1645331,4196619,2674548,5167258,2778873,2006956,640805,131112
1990:Q3,Black,828452,1039546,347472,124066,14629,361949,49849,141581,211095,128503,79493,3099
1990:Q3,Hispanic,481904,706213,284118,78973,14828,128720,76483,123091,224309,160216,52506,11587
1990:Q3,Other,871326,1070104,331654,90983,41347,164175,270856,171089,198777,151062,39498,8217
1990:Q4,White,19215778,22038769,6203426,1740488,1846014,4284035,2681643,5283162,2822991,2036870,650499,135622
1990:Q4,Black,851118,1070965,344047,125045,18561,380210,58582,144520,219847,135878,80419,3550
1990:Q4,Hispanic,475504,703797,277817,79886,15300,130422,83407,116965,228293,163552,53880,10861
1990:Q4,Other,912284,1113687,335163,93701,50222,175392,271033,188176,201402,152956,39593,8853
1991:Q1,White,19661195,22499989,6221851,1760373,2136772,4376085,2667877,5337030,2838794,2066907,633576,138311
1991:Q1,Black,896578,1121367,347425,129991,24356,403133,68839,147624,224790,142589,78086,4115
1991:Q1,Hispanic,475131,703705,280336,80232,15655,131949,90012,105521,228574,165503,53131,9940
1991:Q1,Other,950453,1151619,336508,97232,62905,184891,266557,203526,201165,154152,37414,9599
1991:Q2,White,19669551,22560449,6253625,1771628,2120567,4449975,2657973,5306682,2890898,2120025,634005,136868
1991:Q2,Black,905956,1136742,350388,132062,24250,412126,70729,147187,230786,148370,77853,4563
1991:Q2,Hispanic,480347,708342,278744,80183,15829,134591,92915,106081,227995,166214,52976,8805
1991:Q2,Other,973700,1175962,339194,99834,62681,197540,266171,210542,202261,155504,36472,10285
1991:Q3,White,19923401,22859287,6305394,1791433,2269301,4541935,2644316,5306908,2935886,2152142,637088,146656
1991:Q3,Black,927613,1158066,351449,130615,26460,426512,74301,148729,230453,147184,77823,5446
