id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,participants_category,participants,protesteridentity
201990001,Canada,20,1990,North America,1,1,15,1,1990,15,1,1990,0,,1000s,unspecified
201990002,Canada,20,1990,North America,1,2,25,6,1990,25,6,1990,0,,1000,unspecified
201990003,Canada,20,1990,North America,1,3,1,7,1990,1,7,1990,0,,500,separatist parti quebecois
201990004,Canada,20,1990,North America,1,4,12,7,1990,6,9,1990,1,,100s,mohawk indians
201990005,Canada,20,1990,North America,1,5,14,8,1990,15,8,1990,1,,950,local residents
201990006,Canada,20,1990,North America,1,6,19,9,1990,19,9,1990,0,,200,mohawk indians
201991001,Canada,20,1991,North America,1,1,10,9,1991,17,9,1991,0,,110000,public service alliance of canada
201991002,Canada,20,1991,North America,1,2,28,9,1991,2,10,1991,0,,110000,public service alliance of canada
201992001,Canada,20,1992,North America,1,1,4,5,1992,5,5,1992,1,,1000,gangs of black and white youths
201993001,Canada,20,1993,North America,1,1,16,5,1993,16,5,1993,0,,10000s,unspecified
201993002,Canada,20,1993,North America,1,2,1,7,1993,31,8,1993,0,,100s,environmental activitists
201994001,Canada,20,1994,North America,1,1,1,9,1994,1,9,1994,0,,10000,gun owners and supporters
201994002,Canada,20,1994,North America,1,2,18,11,1994,18,11,1994,0,,6000,students
201995001,Canada,20,1995,North America,1,1,20,2,1995,20,2,1995,0,,3000,unspecified
201995002,Canada,20,1995,North America,1,2,8,9,1995,8,9,1995,1,,100s,chippewa indians
201996001,Canada,20,1996,North America,1,1,26,10,1996,26,10,1996,0,,1000s,labor unions
201997001,Canada,20,1997,North America,1,1,28,10,1997,9,11,1997,0,,126000,ontario teachers federation
201997002,Canada,20,1997,North America,1,2,19,11,1997,4,12,1997,0,,45000,canadian union of postal workers
201998000,Canada,20,1998,North America,0,0,,,,,,,,,,
201999000,Canada,20,1999,North America,0,0,,,,,,,,,,
202000001,Canada,20,2000,North America,1,1,22,2,2000,23,2,2000,1,,2000,french speaking youths
202000002,Canada,20,2000,North America,1,2,26,2,2000,26,2,2000,0,,400,unspecified
202000003,Canada,20,2000,North America,1,3,9,5,2000,9,5,2000,0,,500,unspecified
202000004,Canada,20,2000,North America,1,4,16,6,2000,16,6,2000,1,,10s,anti poverty protesters
202001000,Canada,20,2001,North America,0,0,,,,,,,,,,
202002000,Canada,20,2002,North America,0,0,,,,,,,,,,
202003001,Canada,20,2003,North America,1,1,3,5,2003,3,5,2003,1,,250,crab fishermen
202004000,Canada,20,2004,North America,0,0,,,,,,,,,,
202005001,Canada,20,2005,North America,1,1,3,3,2005,3,4,2005,1,,170000,college students
202005002,Canada,20,2005,North America,1,2,10,9,2005,10,9,2005,0,,300,unspecified
202006001,Canada,20,2006,North America,1,1,21,2,2006,17,8,2006,1,,200,mohawk indians
202007001,Canada,20,2007,North America,1,1,29,6,2007,29,6,2007,0,,1000s,native groups mohawk indians
202008001,Canada,20,2008,North America,1,1,10,8,2008,10,8,2008,1,,100s,unspecified
202009001,Canada,20,2009,North America,1,1,13,5,2009,13,5,2009,0,,12000,tamil canadians
202009002,Canada,20,2009,North America,1,2,10,11,2009,10,11,2009,1,,200,quebec separatists
202010001,Canada,20,2010,North America,1,1,12,2,2010,13,2,2010,1,,1500,unspecified
202011001,Canada,20,2011,North America,1,1,3,7,2011,3,7,2011,0,,300,quebec separatists
202012001,Canada,20,2012,North America,1,1,10,2,2012,6,6,2012,1,,1000s,university students
202013000,Canada,20,2013,North America,0,0,,,,,,,,,,
202014000,Canada,20,2014,North America,0,0,,,,,,,,,,
202015001,Canada,20,2015,North America,1,1,6,10,2015,6,10,2015,0,50-99,50+,protesters
202016001,Canada,20,2016,North America,1,1,2,2,2016,2,2,2016,0,100-999,250-300,taxi drivers against uber
202016002,Canada,20,2016,North America,1,2,10,2,2016,10,2,2016,0,100-999,hundreds,taxi drivers against uber
202016003,Canada,20,2016,North America,1,3,25,2,2016,25,2,2016,0,100-999,more than 200,canadian union of public employees
202016004,Canada,20,2016,North America,1,4,20,3,2016,4,4,2016,0,100-999,hundreds,black lives matter
202016005,Canada,20,2016,North America,1,5,24,3,2016,24,3,2016,0,50-99,dozens,women
202016006,Canada,20,2016,North America,1,6,12,4,2016,12,4,2016,0,100-999,more than 200,ontario autism coalition
202016007,Canada,20,2016,North America,1,7,14,4,2016,14,4,2016,0,50-99,a group,aboriginal activists
202016008,Canada,20,2016,North America,1,8,23,4,2016,23,4,2016,0,100-999,about 300,concerned ontario doctors
