Country,Context Type,Chemical Agent,Deployment Type,People Exposed,People Injured,Perm Injuries,All injuries
Netherlands,Arrest/police duty,OC,hand-held spray,465,78,0,78
Hong Kong,Detention Center/Prison,CS,aerosol,184,184,0,391
Turkey,Protest,CS and OC,aerosol,93,93,23,219
UK,law enforcement use on non-protest crowd,CS,aerosol,23,11,0,15
USA,Arrest/police duty,OC,hand-held spray,100,47,0,47
UK,multiple settings,CS,hand-held spray,152,,,319
USA,multiple settings,OC,hand-held spray,3671,3671,0,5261
India,Protest,CS,projectile canister,2,2,2,2
India,Protest,OC,aerosol,294,294,0,1230
USA,law enforcement training or activity,OC,hand-held spray,22,22,0,26
UK,law enforcement use on non-protest crowd,CS,hand-held spray,30,23,14,23
France,Arrest/police duty,CS,hand-held spray,11,11,5,25
UK,Arrest/police duty,CS and OC,hand-held spray,99,93,0,319
Nepal,Protest,CS,projectile canister,3,3,2,3
USA,law enforcement training or activity,CS,aerosol,38,9,0,45
Finland,law enforcement training or activity,OC,hand-held spray,10,10,0,51
India,Protest,CS,projectile canister,5,4,1,4
India,Protest,CS,projectile canister,18,18,13,50
UK,law enforcement training or activity,CS,hand-held spray,7,7,3,8
USA,Arrest/police duty,OC,hand-held spray,94,80,0,192
USA,law enforcement training or activity,,OC Spray,47,47,0,208
